Manufacturer,Type,Fin Thickness (mm),Fin Depth (mm),Fin Spacing (mm),Density (kg/m2),Linear Mass (kg/m)
Autex Acoustics,Tundra,12,100,100,2.4,0.24
Autex Acoustics,Tundra,12,150,150,2.4,0.36
Autex Acoustics,Tundra,12,200,200,2.4,0.48
Autex Acoustics,Tundra,12,300,300,2.4,0.72
Autex Acoustics,Tundra,24,100,100,4.8,0.48
Autex Acoustics,Tundra,24,150,150,4.8,0.72
Autex Acoustics,Tundra,24,200,200,4.8,0.96
Autex Acoustics,Tundra,24,300,300,4.8,1.44
Autex Acoustics,Dune,12,300,300,2.4,0.72
Autex Acoustics,Dune,24,300,300,4.8,1.44
Autex Acoustics,Sierra,12,300,300,2.4,0.72
Autex Acoustics,Sierra,24,300,300,4.8,1.44
Autex Acoustics,Talus,12,300,300,2.4,0.72
Autex Acoustics,Talus,24,300,300,4.8,1.44
Autex Acoustics,Axis,12,150,300,2.4,0.36
